Aspect Ratio:,Box Office (Gross USA):,Director:,Genre:,Original Language:,Producer:,Production Co:,Rating:,Release Date (Streaming):,Release Date (Theaters):,Runtime:,Sound Mix:,Title:,View the collection:,Writer:,url
,$6.1M,István Szabó,"drama,history",English,,"Alliance Atlantis Communications,Téléfilm Canada,Movie Network",R (Strong Sexuality|Nudity|Language|Violence),"Mar 2, 2017",,3h,"Surround, Dolby SR, Dolby Digital, DTS, SDDS",Sunshine,,,https://www.rottentomatoes.com/m/1097859-sunshine
Flat (1.85:1),$34.1M,Jay Russell,"drama,kids and family",English,"John Lee Hancock,    Mark Johnson,    Andrew A. Kosove","Alcon Entertainment,MDS Productions LLC",PG (Violent Content|Mild Language),"Sep 1, 2010","Mar 3, 2000
 wide",1h 35m,"Surround, Dolby Digital, DTS, SDDS",My Dog Skip,,,https://www.rottentomatoes.com/m/my_dog_skip
Flat (1.85:1),$3.2M,John Swanbeck,"drama,comedy",English,"Elie Samaha,    Kevin Spacey,    Andrew Stevens","Franchise Pictures,Trigger Street Productions",R (Language),"Jun 17, 2016","Apr 28, 2000
 wide",1h 30m,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",The Big Kahuna,,Roger Rueff,https://www.rottentomatoes.com/m/the_big_kahuna
Scope (2.35:1),$15.0M,Mary Harron,"horror,comedy",English,"Christian Halsey Solomon,    Chris Hanley","P.P.S. Films,Lions Gate Entertainment,Edward R. Pressman Film Corp.,Muse Productions,Quadra Entertainment",R (Language|Drug Use|Strong Violence),"Dec 15, 2015","Apr 14, 2000
 wide",1h 43m,"Dolby Stereo, Dolby Digital, Dolby A, Dolby SR",American Psycho,,"Mary Harron,    Guinevere Turner",https://www.rottentomatoes.com/m/american_psycho
Scope (2.35:1),$45.0M,Gregory Hoblit,fantasy,English,"Bill Carraro,    Toby Emmerich,    Gregory Hoblit,    Hawk Koch",New Line Cinema,PG-13 (Intense Violence|Disturbing Images),"Aug 10, 2016","Apr 28, 2000
 wide",1h 57m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Frequency,,,https://www.rottentomatoes.com/m/frequency
Scope (2.35:1),$125.3M,McG,"action,comedy",English,"Drew Barrymore,    Leonard Goldberg,    Nancy Juvonen","Columbia Pictures,Flower Films,Tall Trees Productions",PG-13 (Innuendo|Action/Violence|Nudity|Sensuality),"Apr 16, 2012","Nov 3, 2000
 wide",1h 38m,"SDDS, Dolby Digital, DTS, Surround, Dolby SR",Charlie's Angels,,,https://www.rottentomatoes.com/m/charlies_angels
Scope (2.35:1),$4.2M,Lars von Trier,drama,English,Vibeke Windeløv,"Icelandic Film Corporation,FilmFour,Trust Film,Constantin Film Produktion,Blind Spot Pictures Oy,Cinematograph A/S,What Else? B.V.,Yleisradio,Danmarks Radio,Arte,Zentropa Entertainments,TV 1000,Liberator Productions,Lantia Cinema,SVT Drama,Angel Films A/S,Canal+,Film i Väst,Westdeutscher Rundfunk,VPRO Television,Arte France Cinema,France 3 Cinéma",R (Some Violence),"Jun 27, 2016","Oct 6, 2000
 wide",2h 20m,"Dolby SR, Dolby Digital, Surround",Dancer in the Dark,,,https://www.rottentomatoes.com/m/dancer_in_the_dark
Flat (1.85:1),$37.0M,Ed Norton,romance,English,"Stuart Blumberg,    Ed Norton","Triple Threat,Spyglass Entertainment",PG-13 (Some Sexuality|Language),"Apr 27, 2016","Apr 14, 2000
 wide",2h 7m,"DTS-ES, Dolby Digital, SDDS, DTS, Surround, Dolby SR, Dolby Stereo",Keeping the Faith,,,https://www.rottentomatoes.com/m/keeping_the_faith
Flat (1.85:1),$30.9K,Paul McGuigan,"drama,crime",English,"Jonathan Cavendish,    Norma Heyman","NFH Productions,Pagoda Film",R (Pervasive Language|Nudity|Brief Drug Use|Strong Brutal Violence),"Nov 30, 2016",,1h 43m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Gangster No. 1,,,https://www.rottentomatoes.com/m/gangster-no-1
,$149.3K,Ann Hu,"drama,history",Chinese,,"China Film,C & A Productions,Post Production Playground,Central Motion Pictures Corporation,Road Movies Vierte Produktionen,Beijing Film Studio,Filmstiftung Nordrhein-Westfalen,Schulberg Productions",PG (Mild Language),,"Apr 6, 2001
 wide",1h 55m,Surround,Shadow Magic,,,https://www.rottentomatoes.com/m/shadow_magic
Scope (2.35:1),$77.1M,Jonathan Mostow,mystery and thriller,English,"Dino De Laurentiis,    Martha De Laurentiis","Universal Pictures,Canal Plus Image International",PG-13 (War Violence),"Feb 14, 2016","Apr 21, 2000
 wide",1h 56m,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",U-571,,,https://www.rottentomatoes.com/m/u571
Flat (1.66:1),$359.2K,Gillian Grisman,documentary,English,Gillian Grisman,Acoustic Disc,PG-13 (Brief Language),"Apr 16, 2012","Oct 5, 2000
 wide",1h 20m,"Dolby Stereo, Dolby Digital, Dolby A, Dolby SR",Grateful Dawg,,,https://www.rottentomatoes.com/m/grateful_dawg
